SMILES,LOGD
CC1(c2ccc(NS(=O)(=O)c3ccccc3)cc2)NC(=O)N(CC(=O)c2ccc(F)cc2F)C1=O,4.9
CC(C)(C)OC(=O)NC[C@H]1CC[C@H](CNC(=O)c2cc(Cl)nc3ccccc23)CC1,4.9
CC(C)=CCc1c(O)cc(O)c2c1O[C@@]13C(=C[C@H]4C(=O)C1(CC=C(C)C)OC[C@@H]3[C@H]4COCc1ccccc1)C2=O,4.9
CC1(c2ccc(S(N)(=O)=O)cc2)NC(=O)N(CC(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1=O,4.9
Cc1c(-c2ccccc2)c(N2CC[C@H](N(C)C)C2)c2oc(C3CCCC3)nc2c1C#N,4.9
Cc1cc(-c2nnc(NC3CCCC3)o2)nc2c(C(C)(C)C)cc(OCC(F)(F)F)cc12,4.9
CC(C)Nc1cc(-c2cc3c4c(n[nH]c4c2)Nc2ccccc2O3)nc(N)n1,4.9
Cc1cc(N[C@H]2C[C@@H]2c2ccccc2)n2nc(N[C@H](C)c3cccc(Cl)c3)nc2n1,4.9
CC(C)CCOC(=O)c1ccccc1-c1ccc(CN2CCC(COC(=O)c3c4n(c5ccccc35)CCCO4)CC2)cc1.CS(=O)(=O)O,4.9
Cc1ccc2c(c1)nc(CCn1nc(C)c3cccnc31)n2-c1ccccc1,4.9
Cc1cnn(CC(=O)[C@H]2CC[C@H]3[C@@H]4CC[C@@H]5C[C@](C)(O)CC[C@@H]5[C@H]4CC[C@]23C)n1,4.9
CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(O[C@H]1CCOC1)c1ccc(Cl)cc1,4.9
Cc1ccc(-c2ncccc2OCc2ccccn2)cc1,4.9
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,4.9
CCC1CN(Cc2ccccc2)c2cc(-c3cncnc3)ccc2N1C(C)=O,4.9
Cc1cc(C)c(-c2nc(C(=O)Nc3ccc(C)c(C(=O)O)c3)c(CCC34CC5CC(CC(C5)C3)C4)[nH]2)c(C)c1,4.9
CCc1cc(-c2noc(-c3sc(CC)c4c3CCC(C)(C)C4)n2)cc(C)c1OCCNCCC(=O)O,4.9
CCCCN(c1ccc(C(=O)OCCN(C)C)cc1)C(F)(F)F,4.9
CCCC[C@@H]1NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)CSC[C@@H](C(=O)NC)NC(=O)[C@H](CCCC)N(C)C1=O,4.9
Cc1onc(-c2ccc(Cl)cc2)c1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,4.9
CCN(Cc1cccnc1)c1cccc(-c2nc3ccccc3s2)c1,4.9
CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2ccc(C(C)C)cn2)C2CC2)C1,4.9
Clc1cccc(Cl)c1Oc1n[nH]c2ccccc12,4.9
CCCCOC(=O)c1ccccc1-c1ccc(CN2CCC(COC(=O)c3c4n(c5ccccc35)CCCO4)CC2)cc1.CS(=O)(=O)O,4.9
CN1CCN(C(=O)C(C)(C)C)C(c2ccccc2)C1,4.9
CCN(CC(c1ccccc1)c1ccccc1)C(=O)c1cc(C)c(=O)n(C)c1,4.9
CN1C(=O)[C@@H](NC(=O)c2nnc(Cc3ccccc3)o2)COc2ccccc21,4.9
CN1CCN(c2sc(NC(=O)c3cc(-c4ccccc4)n(C)n3)nc2C2CCC2)CC1,4.9
CNC(=O)C(C(C)C)N(CC(c1ccccc1)c1ccccc1)C(=O)c1cc(C)c(=O)n(C)c1,4.9
CN(C1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1)S(C)(=O)=O,4.9
CNC(=O)c1cc2cccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)c2[nH]1,4.9
CCOc1nc(Nc2ccc(C(=O)N3CCN4CCC[C@H]4C3)cc2OC)nc2[nH]ccc12,4.9
CCOc1nc(Nc2ccc(C(=O)N3CCN4CCC[C@@H]4C3)cc2OC)nc2[nH]ccc12,4.9
COC(=O)[C@H]1[C@@H](c2ccc(C)cc2)C[C@@H]2CC[C@H]1N2C/C=C/I,4.9
COc1ccc(-c2c(C)nc3c(NCc4cccnc4)cc(C)cn23)cc1OC,4.9
COc1ccc(-c2cc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)n[nH]2)cn1,4.9
CNC(=O)C(C1CCC1)N(CC(c1ccccc1)c1ccccc1)C(=O)c1cc(C)c(=O)n(C)c1,4.9
CNC(=O)C1(N(CC(c2ccccc2)c2ccccc2)C(=O)c2cc(C)c(=O)n(C)c2)CCC1,4.9
COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@H]2CC[C@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(F)(F)F)cc2)cc1)C(C)C,4.9
COc1ccc(-c2ccc(C(=O)O)cc2C)cc1-c1cnc(C(F)(F)F)nc1CN1C(=O)O[C@H](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H]1C,4.9
COc1ccc2c(c1)C(=O)N(Cc1ccccc1-c1ccccc1)C2C(=O)NC(C)(C)C,4.9
COc1cc(OC)cc(C(=O)Nc2nc(-c3ccccc3)c(CN3CCCCC3)s2)c1.Cl,4.9
COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C2CCCO2)c1,4.9
COc1ccc(CN2CCC(N(c3ccc(C(F)(F)F)cc3)c3cccnc3)CC2)cc1,4.9
FC(F)(F)c1ccccc1-c1nc(NCc2ccccn2)c2ccccc2n1,4.9
N#Cc1ccc(O[C@H]2CN(S(=O)(=O)c3ccc(Cl)cc3Cl)C[C@]2(O)CO)cc1F,4.9
Fc1cnc(N2CCC(N(c3ccc(C(F)(F)F)cc3)c3cccnc3)CC2)nc1,4.9
FC(F)(F)c1ccc(-c2nc(-c3ccccc3)c[nH]2)cc1,4.9
O=C(C1CCN(C(=O)C(F)(F)F)CC1)N1N=CCC1c1ccccc1,4.9
O=C(c1ncc(Cl)cc1O)N1CCC2(CCC2)C1,4.9
N#Cc1ccccc1N1CCC(N(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1,4.9
O=C(Nc1cnc2[nH]ncc2c1)[C@H]1CCCN1C(=O)C1(c2cccc(Cl)c2)CCCC1,4.9
OCCCCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,4.9
COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCCNC3=O)C(=O)COC(=O)C(C)(C)C(F)(F)F)cc12,4.89
CCCCc1ccc(-c2nc(CNCCN3CCCC3)co2)cc1,4.89
COc1ncc(-c2ccc(C(=O)O)cc2C)cc1-c1cnc(C(F)(F)F)nc1CN1C(=O)O[C@H](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H]1C,4.9
O=C(c1csc2ccccc12)N(CCc1ccc(Cl)cc1)[C@H]1CC[C@H](O)CC1,4.9
O=C1NCCc2c1cnn2-c1cc(Cc2cccc(C(F)(F)F)c2)ccn1,4.9
